[ 2014-10-31T11:22:26+08:00 ] /admin.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000621s ]
[ 2014-10-31T11:22:26+08:00 ] /admin.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000703s ]
[ 2014-10-31T11:22:26+08:00 ] /admin.php/Login/index | INFO: Tag[ view_template ] --START--
[ 2014-10-31T11:22:26+08:00 ] /admin.php/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001631s ]
[ 2014-10-31T11:22:26+08:00 ] /admin.php/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001750s ]
[ 2014-10-31T11:22:26+08:00 ] /admin.php/Login/index | INFO: Tag[ view_parse ] --START--
[ 2014-10-31T11:22:26+08:00 ] /admin.php/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.014772s ]
[ 2014-10-31T11:22:26+08:00 ] /admin.php/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015465s ]
[ 2014-10-31T11:22:26+08:00 ] /admin.php/Login/index | INFO: Tag[ view_filter ] --START--
[ 2014-10-31T11:22:26+08:00 ] /admin.php/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.000816s ]
[ 2014-10-31T11:22:26+08:00 ] /admin.php/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.000704s ]
[ 2014-10-31T11:22:26+08:00 ] /admin.php/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000423s ]
[ 2014-10-31T11:22:26+08:00 ] /admin.php/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000593s ]
[ 2014-10-31T11:22:26+08:00 ] /admin.php/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002739s ]
[ 2014-10-31T11:22:26+08:00 ] /admin.php/Login/index | INFO: Tag[ view_end ] --START--
[ 2014-10-31T11:22:26+08:00 ] /admin.php/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000613s ]
[ 2014-10-31T11:22:26+08:00 ] /admin.php/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000665s ]
[ 2014-10-31T11:22:26+08:00 ] /admin.php/Common/verify | INFO: Tag[ route_check ] --START--
[ 2014-10-31T11:22:26+08:00 ] /admin.php/Common/verify | INFO: Run CheckRoute Behavior [ RunTime:0.001430s ]
[ 2014-10-31T11:22:26+08:00 ] /admin.php/Common/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001566s ]
[ 2014-10-31T11:22:26+08:00 ] /admin.php/Common/verify | INFO: Tag[ app_begin ] --START--
[ 2014-10-31T11:22:26+08:00 ] /admin.php/Common/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001072s ]
[ 2014-10-31T11:22:26+08:00 ] /admin.php/Common/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001183s ]
[ 2014-10-31T11:22:26+08:00 ] /admin.php/Login/resources/images/closelabel.gif | ERR: (ThinkException) 非法操作resources
[ 2014-10-31T11:22:40+08:00 ] /admin.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2014-10-31T11:22:40+08:00 ] /admin.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.001239s ]
[ 2014-10-31T11:22:40+08:00 ] /admin.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001349s ]
[ 2014-10-31T11:22:40+08:00 ] /admin.php/Login/index | INFO: Tag[ app_begin ] --START--
[ 2014-10-31T11:22:40+08:00 ] /admin.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000807s ]
[ 2014-10-31T11:22:40+08:00 ] /admin.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000870s ]
[ 2014-10-31T11:22:40+08:00 ] /admin.php/Login/index | INFO: Tag[ view_template ] --START--
